"code","sex","age","BISImAt","BISImpMOT","BISImpNP","BISTOT","NFC","likemagic","surpmagic","predmagic","explA","explB","confmagic","easymagic","howmagic","newmagic","crt1","crt2","crt3","crt4","crt5","crt6","crt7","norm1","norm2","norm3","norm4","norm5","norm6","norm7","normtot","totscien","span_for","span_back","num_ab"
"69DA20",1,19,NA,NA,NA,NA,NA,4,4,3,2,2,2,4,3,3,NA,5,100,4,1,20,3,"0,00","1,00","0,00","1,00","0,00","1,00","1,00","4,00","",NA,NA,NA
"09AF21",2,18,NA,NA,NA,NA,NA,4,4,NA,2,2,2,4,4,3,24,5,100,12,30,0,2,"0,00","1,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00",NA,NA,NA
"28SF10",2,19,NA,NA,NA,NA,NA,4,4,3,3,3,3,3,4,3,NA,5,NA,6,1,10,NA,"0,00","1,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00",NA,NA,NA
"33MG22",2,19,NA,NA,NA,NA,NA,5,5,2,2,2,2,3,5,5,47,5,100,4,15,10,2,"1,00","1,00","0,00","1,00","0,00","0,00","0,00","3,00","1,00",NA,NA,NA
"22CC03",2,20,NA,NA,NA,NA,NA,5,5,2,2,2,1,3,5,5,47,5,100,4,15,10,3,"1,00","1,00","0,00","1,00","0,00","0,00","1,00","4,00","0,00",NA,NA,NA
"79CG15",2,21,NA,NA,NA,NA,NA,5,3,3,2,2,1,3,5,5,24,10,100,9,15,10,2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NA,NA,NA
"65ME01",2,19,NA,NA,NA,NA,NA,5,5,5,3,3,1,3,5,4,47,10,100,12,30,10,3,"1,00","0,00","0,00","0,00","0,00","0,00","1,00","2,00","0,00",NA,NA,NA
"39IF20",2,20,NA,NA,NA,NA,NA,4,4,1,2,2,3,4,4,2,47,10,100,9,15,0,2,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00",NA,NA,NA
"88XB11",1,18,12,19,24,55,47,5,4,2,2,2,3,3,5,4,47,5,5,4,29,20,1,"1,00","1,00","1,00","1,00","1,00","1,00","0,00","6,00","0,00",NA,NA,NA
"54MB08",1,19,14,14,17,45,66,1,3,5,1,1,4,5,2,2,24,10,100,4,29,0,1,"0,00","0,00","0,00","1,00","1,00","0,00","0,00","2,00","1,00",NA,NA,3
"93EC14",2,19,NA,NA,NA,NA,NA,4,4,3,2,2,3,4,4,4,24,10,100,9,15,20,3,"0,00","0,00","0,00","0,00","0,00","1,00","1,00","2,00","0,00",NA,NA,NA
"58MJ10",2,19,NA,NA,NA,NA,NA,4,3,2,2,2,3,3,2,2,24,10,100,NA,15,20,2,"0,00","0,00","0,00","0,00","0,00","1,00","0,00","1,00","",NA,NA,NA
"33MB07",1,21,NA,NA,NA,NA,NA,4,4,4,3,3,1,4,4,3,47,5,100,9,15,10,3,"1,00","1,00","0,00","0,00","0,00","0,00","1,00","3,00","0,00",NA,NA,NA
"09MB16",1,22,16,22,20,58,83,5,4,4,1,1,3,4,5,4,47,5,5,4,NA,20,3,"1,00","1,00","1,00","1,00","0,00","1,00","1,00","6,00","1,00",NA,NA,7
"04IB25",2,19,NA,NA,NA,NA,NA,5,5,2,2,2,2,4,4,4,3,10,100,9,30,20,2,"0,00","0,00","0,00","0,00","0,00","1,00","0,00","1,00","0,00",NA,NA,NA
"92EA10",2,19,18,26,29,73,41,4,5,2,2,2,3,2,5,4,47,10,100,3,1,20,2,"1,00","0,00","0,00","0,00","0,00","1,00","0,00","2,00","0,00",NA,NA,NA
"09DE21",2,19,NA,NA,NA,NA,NA,5,5,2,2,2,2,2,4,4,24,10,100,9,30,20,2,"0,00","0,00","0,00","0,00","0,00","1,00","0,00","1,00","0,00",NA,NA,NA
"32EB17",1,19,NA,NA,NA,NA,NA,5,5,2,2,2,2,2,5,5,47,5,100,24,15,0,3,"1,00","1,00","0,00","0,00","0,00","0,00","1,00","3,00","0,00",NA,NA,NA
"63FB29",2,18,NA,NA,NA,NA,NA,5,3,5,2,2,1,4,5,4,47,10,100,9,30,20,2,"1,00","0,00","0,00","0,00","0,00","1,00","0,00","2,00","0,00",NA,NA,NA
"77DF10",2,19,NA,NA,NA,NA,NA,5,5,3,2,2,2,4,5,5,24,10,5,9,30,10,2,"0,00","0,00","1,00","0,00","0,00","0,00","0,00","1,00","",NA,NA,NA
"09MC08",2,19,NA,NA,NA,NA,NA,5,5,2,3,3,3,4,5,4,24,5,100,6,30,10,2,"0,00","1,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00",NA,NA,NA
"47TB19",2,19,NA,NA,NA,NA,NA,5,5,5,2,2,2,4,5,4,24,10,5,9,30,80,1,"0,00","0,00","1,00","0,00","0,00","0,00","0,00","1,00","0,00",NA,NA,NA
"06RB22",2,19,NA,NA,NA,NA,NA,5,5,3,2,2,2,2,5,4,24,5,100,6,30,10,2,"0,00","1,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00",NA,NA,NA
"48BB19",2,19,NA,NA,NA,NA,NA,4,5,3,2,2,2,3,4,3,24,5,100,6,15,10,2,"0,00","1,00","0,00","0,00","0,00","0,00","0,00","1,00","0,00",NA,NA,NA
"93OH25",2,19,NA,NA,NA,NA,NA,4,4,4,3,3,4,2,5,4,24,5,100,24,1,20,2,"0,00","1,00","0,00","0,00","0,00","1,00","0,00","2,00","",NA,NA,NA
"71LP05",1,20,NA,NA,NA,NA,NA,5,2,4,2,2,4,3,5,5,47,10,5,2,1,0,3,"1,00","0,00","1,00","0,00","0,00","0,00","1,00","3,00","2,00",NA,NA,NA
"11SG16",2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,5,100,12,NA,20,2,"1,00","1,00","0,00","0,00","0,00","1,00","0,00","3,00","0,00",NA,NA,NA
"82SG13",2,19,14,16,22,52,46,5,5,3,2,2,2,4,5,5,47,10,20,6,NA,NA,NA,"1,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","1,00",NA,NA,NA
"00CG04",2,19,NA,NA,NA,NA,NA,4,4,3,3,3,3,4,5,5,24,10,100,6,15,20,2,"0,00","0,00","0,00","0,00","0,00","1,00","0,00","1,00","0,00",NA,NA,NA
"88EG21",2,20,NA,NA,NA,NA,NA,4,4,2,2,1,2,1,4,2,47,105,100,4,29,20,2,"1,00","0,00","0,00","1,00","1,00","1,00","0,00","4,00","0,00",NA,NA,NA
"61SC03",2,19,21,16,17,54,64,4,4,3,2,2,3,4,5,5,40,1,500,9,30,10,NA,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NA,NA,NA
"23AC28",1,19,19,26,26,71,68,5,5,4,2,2,2,2,5,5,32,5,5,NA,15,20,2,"0,00","1,00","1,00","0,00","0,00","1,00","0,00","3,00","0,00",NA,NA,3
"62EB28",2,18,NA,NA,NA,NA,NA,5,4,4,2,2,2,NA,5,5,47,5,100,9,30,10,2,"1,00","1,00","0,00","0,00","0,00","0,00","0,00","2,00","2,00",NA,NA,NA
"37LC17",2,19,NA,NA,NA,NA,NA,4,5,3,1,1,2,2,5,5,24,5,100,4,29,20,3,"0,00","1,00","0,00","1,00","1,00","1,00","1,00","5,00","0,00",NA,NA,NA
