subject,block,A,C,mu_ta,mu_fl,mu_ss,mu_rs2,ter
34,1,0.184,0.104,0.009,0.285,0.516,1.135,0.192
34,2,0.189,0.096,0.195,0.183,0.389,1.195,0.217
34,3,0.157,0.097,0.115,0.227,0.347,1.112,0.194
34,4,0.12,0.076,0.059,0.316,0.405,1.188,0.275
35,1,0.112,0.116,0.077,0.157,0.291,1.411,0.16
35,2,0.093,0.084,0.025,0.123,0.323,1.388,0.206
35,3,0.07,0.061,0.076,0.175,0.265,1.459,0.28
35,4,0.084,0.069,0.009,0.118,0.293,1.48,0.237
36,1,0.097,0.069,0.024,0.141,0.441,1.356,0.293
36,2,0.078,0.083,0.143,0.219,0.545,1.139,0.337
36,3,0.073,0.068,0.112,0.164,0.488,1.214,0.343
36,4,0.071,0.057,0.099,0.186,0.385,1.219,0.321
37,1,0.233,0.076,0.105,0.067,0.33,1.297,0.274
37,2,0.242,0.077,0.103,0.054,0.351,1.292,0.239
37,3,0.187,0.082,0.121,0.09,0.36,1.273,0.27
37,4,0.2,0.08,0.121,0.095,0.318,1.292,0.253
38,1,0.156,0.086,0.036,0.309,0.311,1.242,0.249
38,2,0.068,0.083,0.087,0.155,0.348,1.329,0.288
38,3,0.082,0.086,0.039,0.171,0.277,1.416,0.269
38,4,0.066,0.072,0.052,0.201,0.244,1.402,0.292
39,1,0.368,0.046,0.106,0.116,0.159,1.239,0.205
39,2,0.084,0.1,0.001,0.001,0.352,1.371,0.422
39,3,0.07,0.087,0.094,0.047,0.345,1.304,0.463
39,4,0.058,0.106,0.098,0.003,0.378,1.237,0.484
40,1,0.126,0.148,0.098,0.073,0.324,1.269,0.33
40,2,0.133,0.145,0.158,0.109,0.274,1.3,0.295
40,3,0.139,0.11,0.235,0.146,0.29,1.037,0.403
40,4,0.152,0.178,0.127,0.096,0.299,1.283,0.215
41,1,0.157,0.127,0.21,0.035,0.283,1.147,0.158
41,2,0.19,0.122,0.104,0.247,0.411,1.165,0.149
41,3,0.167,0.217,0.016,0.096,0.619,0.908,0.036
41,4,0.155,0.095,0.021,0.185,0.337,1.298,0.227
42,1,0.118,0.104,0.002,0.026,0.439,1.356,0.371
42,2,0.069,0.114,0.085,0.021,0.404,1.216,0.459
42,3,0.288,0.057,0.094,0.007,0.349,1.299,0.284
42,4,0.288,0.054,0.087,0.027,0.349,1.297,0.293
43,1,0.11,0.092,0.007,0.004,0.308,1.432,0.265
43,2,0.202,0.081,0.113,0.076,0.311,1.383,0.229
43,3,0.099,0.093,0.035,0,0.357,1.375,0.295
43,4,0.102,0.091,0.094,0,0.341,1.378,0.305
44,1,0.135,0.128,0.122,0.101,0.385,1.228,0.318
44,2,0.207,0.086,0.144,0.088,0.37,1.226,0.256
44,3,0.298,0.052,0.131,0.089,0.344,1.265,0.264
44,4,0.216,0.065,0.176,0.266,0.298,1.073,0.254
45,1,0.293,0.055,0.128,0.076,0.346,1.28,0.256
45,2,0.268,0.053,0.079,0.003,0.388,1.285,0.286
45,3,0.227,0.049,0.133,0.004,0.425,1.228,0.303
45,4,0.189,0.071,0.14,0.108,0.386,1.274,0.301
46,1,0.202,0.12,0.112,0.093,0.318,1.258,0.259
46,2,0.176,0.209,0.119,0.093,0.464,1.105,0.179
46,3,0.174,0.099,0.122,0.097,0.325,1.288,0.267
46,4,0.135,0.124,0.108,0.09,0.307,1.302,0.316
47,1,0.104,0.076,0.035,0.027,0.356,1.328,0.317
47,2,0.171,0.087,0.177,0.15,0.388,1.212,0.241
47,3,0.142,0.084,0.019,0.152,0.3,1.39,0.226
47,4,0.093,0.102,0.018,0.069,0.405,1.315,0.255
48,1,0.099,0.096,0.003,0.073,0.35,1.43,0.222
48,2,0.101,0.087,0.002,0.074,0.307,1.458,0.243
48,3,0.097,0.082,0.043,0.01,0.29,1.397,0.25
48,4,0.086,0.088,0.021,0.102,0.362,1.372,0.249
49,1,0.272,0.084,0.101,0.072,0.348,1.285,0.223
49,2,0.273,0.072,0.144,0.113,0.417,1.288,0.243
49,3,0.101,0.095,0.067,0.17,0.352,1.284,0.318
49,4,0.124,0.104,0.115,0.187,0.322,1.273,0.284
50,1,0.226,0.095,0.115,0.084,0.299,1.321,0.247
50,2,0.204,0.085,0.101,0.057,0.33,1.306,0.298
50,3,0.244,0.074,0.106,0.063,0.32,1.304,0.276
50,4,0.148,0.092,0.089,0.123,0.306,1.343,0.252
